Metric,LR - IRLS,LR - GD,LR - SGD,LR - ADAM,LDA,QDA,KNN
Accuracy,0.9695121951219512,0.6524390243902439,0.8262195121951219,0.42073170731707316,0.9695121951219512,0.926829268292683,0.9573170731707317
Precision,0.9831932773109243,0.5753424657534246,0.8469387755102041,0.376425855513308,0.9831932773109243,0.8740740740740741,0.9743589743589743
Recall,0.936,0.336,0.664,0.792,0.936,0.944,0.912
F1-Score,0.959016393442623,0.4242424242424243,0.7443946188340808,0.5103092783505155,0.959016393442623,0.9076923076923077,0.9421487603305785
