Metric,LR - IRLS,LR - GD,LR - SGD,LR - ADAM,LDA,QDA,KNN
Accuracy,0.9719827586206896,0.9709051724137931,0.9698275862068966,0.7780172413793104,0.9633620689655172,0.2338362068965517,0.9644396551724138
Precision,0.9,0.918918918918919,0.875,0.0375,0.8529411764705882,0.07208387942332896,1.0
Recall,0.6206896551724138,0.5862068965517241,0.603448275862069,0.10344827586206896,0.5,0.9482758620689655,0.43103448275862066
F1-Score,0.7346938775510204,0.7157894736842105,0.7142857142857142,0.05504587155963303,0.6304347826086956,0.13398294762484775,0.6024096385542169
