,Learning rate,Algorithm,Accuracy
0,1e-06,gd,0.404
1,1e-05,gd,0.336
2,0.0001,gd,0.648
3,0.001,gd,0.508
4,0.01,gd,0.592
5,1e-06,sgd,0.464
6,1e-05,sgd,0.384
7,0.0001,sgd,0.572
8,0.001,sgd,0.528
9,0.01,sgd,0.776
10,1e-06,adam,0.584
11,1e-05,adam,0.372
12,0.0001,adam,0.364
13,0.001,adam,0.404
14,0.01,adam,0.616
