Metric,LR - IRLS,LR - GD,LR - SGD,LR - ADAM,LDA,QDA,KNN
Accuracy,0.744,0.74,0.744,0.64,0.728,0.632,0.736
Precision,0.582089552238806,0.5806451612903226,0.582089552238806,0.3684210526315789,0.5522388059701493,0.4174757281553398,0.7647058823529411
Recall,0.52,0.48,0.52,0.28,0.49333333333333335,0.5733333333333334,0.17333333333333334
F1-Score,0.5492957746478873,0.5255474452554746,0.5492957746478873,0.3181818181818182,0.5211267605633803,0.48314606741573035,0.2826086956521739
