Metric,LR - GD,LR - SGD,LR - ADAM,LDA,QDA,KNN
Accuracy,0.8374358528311734,0.840654083674002,0.418283030355745,0.8350874141080282,0.6702618074280247,0.8450900234843872
Precision,0.7089520577004667,0.7118573797678275,0.13360091743119265,0.6984258492129246,0.42247228197914943,0.7240083507306889
Recall,0.5854940434477925,0.6016117729502453,0.24491941135248774,0.590749824807288,0.8945339873861248,0.6075683251576735
F1-Score,0.6413356361542889,0.6521078617546524,0.17289141726440763,0.6400911161731206,0.5739013150500168,0.6606972756715566
