Metric,LR - IRLS,LR - GD,LR - SGD,LR - ADAM,LDA,QDA,KNN
Accuracy,0.748,0.604,0.628,0.516,0.728,0.488,0.736
Precision,0.5909090909090909,0.3125,0.36363636363636365,0.3114754098360656,0.5522388059701493,0.3567567567567568,0.7647058823529411
Recall,0.52,0.26666666666666666,0.32,0.5066666666666667,0.49333333333333335,0.88,0.17333333333333334
F1-Score,0.5531914893617023,0.28776978417266186,0.3404255319148936,0.38578680203045684,0.5211267605633803,0.5076923076923078,0.2826086956521739
