n_iter,gd_1e-06,gd_1e-05,gd_1e-04,gd_1e-03,gd_1e-02,sgd_1e-06,sgd_1e-05,sgd_1e-04,sgd_1e-03,sgd_1e-02,adam_1e-06,adam_1e-05,adam_1e-04,adam_1e-03,adam_1e-02
0,inf,1.4385474726616627,2.276154819288808,0.38846353856921795,1.0925569413843932,0.2902024485325828,1.1817689685492005,1.0210542176042088,0.5055946476580416,0.1317579126290752,0.9408872881712476,1.8089814914982865,3.1355809011894955,1.3239938930054398,2.2789252870313716
1,inf,1.4170606524140357,2.02715417194956,0.25615540986593177,0.6898784344482175,0.2901245631463034,1.1668722747212774,0.9123364595913731,0.2797348295764551,0.12111028463795176,0.9408792286399178,1.8088756150170198,3.1343509659108464,1.3137381577411353,2.159551766000714
2,inf,1.3959081643120563,1.8037564612401116,0.21732152545705635,0.5471626287377436,0.29004675201427593,1.1522172237577255,0.8215306666948607,0.20939974819840032,0.11659968427088113,0.9408698403690822,1.8087522884169096,3.132918526030338,1.3018636938478056,2.0242800545408453
3,inf,1.3750881671776036,1.6048933548758937,0.19550952341293237,0.4867478465594154,0.28996901427657196,1.1377994853204776,0.7455591311990366,0.1803955775714597,0.1138564302144332,0.9408595202561463,1.8086167275583886,3.131344108492279,1.2889024673034666,1.880645964509545
4,inf,1.3545986877778908,1.4290412844743121,0.1812593276712392,0.44622025487856354,0.2898913518802972,1.1236188039923802,0.6817480399727787,0.16531247156203013,0.11214962963070071,0.9408485259767462,1.8084723188971685,3.1296672250209054,1.2752030353181176,1.7336438132719958
5,inf,1.33443762477105,1.2743375550726894,0.17109457946497275,0.41282974280919865,0.289813762835361,1.1096705617870555,0.6279504545894274,0.1559037168711975,0.11090598238555244,0.9408370396640193,1.808321456131817,3.1279156300054245,1.2610128245013625,1.5868128952218845
6,inf,1.3146027528238504,1.1387309635125427,0.16341144620900722,0.3846436852488074,0.2897362479257596,1.0959528461094419,0.5823134601429821,0.149432760784165,0.11006663419925404,0.9408251964147543,1.8081659147677278,3.1261101374037956,1.2465151356232453,1.4430900529815232
7,inf,1.295091726886213,1.0201334493349392,0.15735103272505035,0.3605620016267349,0.2896588090377552,1.0824621768629905,0.5433157504542826,0.14462348901656394,0.1097779165817828,0.940813099502643,1.8080070520232554,3.1242661420533953,1.231848967443336,1.3050476325643352
8,inf,1.2759020866067183,0.9165417020368932,0.15241349127028198,0.3396081847433088,0.28958144292861016,1.0691965363380536,0.5097698628275565,0.14086478037591907,0.10912343488100934,0.9408008294577582,1.8078459261511657,3.1223964585506594,1.217120892160106,1.1748029874012962
9,inf,1.2570312608732406,0.8261138607714302,0.14829119497205595,0.3210040772163867,0.2895041511741724,1.0561517885334208,0.48074087392247544,0.13783021133953227,0.1084896641285722,0.9407884499203443,1.8076833733765016,3.1205102673568246,1.202412794073086,1.0539111886133223
10,inf,1.238476572462781,0.7472033644415903,0.14478440815766955,0.3043173786240711,0.2894269336944554,1.0433259947109952,0.45544581527645983,0.13529380809126265,0.10828615090390493,0.9407760116343995,1.8075200603892236,3.1186158142173377,1.1877873283266214,0.9432930508655543
11,inf,1.2202352427847132,0.6783615259612292,0.14175688988361312,0.28928383999829627,0.28934978993715377,1.030715712099687,0.4332374961745365,0.13315561855423455,0.1074994190003174,0.940763555289742,1.8073565217015497,3.1167189437391087,1.1732921000105965,0.8432713763380424
12,inf,1.2023043967015328,0.6183221516249411,0.13911178342635777,0.27573942127792955,0.2892727202632955,1.0183181567765678,0.4136077381550476,0.13131250494440952,0.10707991520998254,0.9407511136124118,1.807193187133283,3.1148248333381146,1.1589630715549755,0.7537424183037458
13,inf,1.184681067411605,0.5659788810393723,0.1367778820677932,0.26357972545942726,0.28919572380813613,1.0061307309305223,0.3961875457639315,0.12970939911288454,0.10714700893893357,0.9407387129425094,1.8070304025522275,3.112937467354671,1.1448273657024657,0.6743441525631936
14,inf,1.1673622013785685,0.5203620534906684,0.134701389904758,0.25276679507720295,0.28911879971204585,0.9941499618443638,0.38058518398426994,0.12828550006838182,0.10658932950242941,0.9407263744499709,1.8068684458609983,3.1110600723971222,1.130905455410117,0.6045331346442246
15,inf,1.150344663292354,0.48061851419838736,0.13284074037326196,0.24329191288149937,0.2890419502882961,0.9823745949068837,0.3665646624792726,0.12699959313508172,0.10766462650622624,0.9407141150873829,1.806707539523803,3.1091950541770887,1.1172127427352445,0.5436270998880894
16,inf,1.133625241047246,0.4459954141596453,0.13116320375445278,0.2350651535048608,0.2889651738877649,0.9708008969802968,0.3538824343761301,0.12584476606202616,0.10618606511588587,0.9407019483469115,1.806547860519557,3.1073447653362285,1.103760630126299,0.49086144794368086
17,inf,1.117200650722834,0.41582770627274507,0.12964258957004837,0.22791618681889206,0.2888884705546134,0.9594252594284138,0.342354967736086,0.12479272641710311,0.10610646494470075,0.9406898848685054,1.8063895483404608,3.1055105331977453,1.0905572491554443,0.4454384289616106
18,inf,1.1010675415541524,0.38952846218891557,0.12825764551737756,0.22164936468971064,0.28881184064550514,0.9482463527419693,0.3318300275515136,0.1238331803961547,0.10602047965825614,0.9406779329333814,1.8062327114790075,3.103693880164579,1.0776079948081774,0.4065542116620697
19,inf,1.085222500877962,0.3665810564198804,0.12699091436305474,0.21608398614608276,0.288735282928404,0.9372592745149317,0.32216814947841105,0.1229526252999001,0.10620739447585102,0.9406660988673907,1.8060774327320375,3.1018954823611287,1.0649159588199133,0.3734298538136465
20,inf,1.0696620590426245,0.3465324479285247,0.12582790052871193,0.21106784082577135,0.2886587970968049,0.9264621859281932,0.31327577960404307,0.12213589282464843,0.10578805409615498,0.9406543873730386,1.8059237735686067,3.100116326118405,1.0524823066697164,0.3453344099111448
21,inf,1.0543826942697583,0.32898705717759813,0.12475645125175348,0.20648486607237332,0.28858238359644434,0.9158519564466073,0.3050574785670304,0.1213816077815183,0.1057964525327239,0.9406428018043543,1.805771777739918,3.0983567506193546,1.0403066141607513,0.32158775339142115
22,inf,1.03938083745641,0.31360098018041843,0.12376628959934578,0.20225244351866356,0.2885060426415126,0.9054254151088561,0.2974270933649387,0.12068073584607689,0.10561469654847183,0.9406313443950612,1.805621474283265,3.0966169450060086,1.0283871671369222,0.3015605929263469
23,inf,1.0246528769072647,0.3000764539224248,0.1228486569712795,0.19831192638901082,0.2884297764943426,0.8951806704247532,0.29032437082075524,0.12002789623616675,0.1053182383655052,0.940620016449399,1.805472880030037,3.0948974135297567,1.0167212243293573,0.28467894792282417
24,inf,1.0101951629870793,0.28815658541823697,0.12199603586629659,0.19461980793033415,0.28835358105187864,0.8851143219745471,0.2836897680939129,0.11941521714732065,0.10527383127006906,0.9406088185017678,1.8053260017022905,3.093198042620293,1.0053052434220573,0.27042943825210747
25,inf,0.9960040126842602,0.2776203963530692,0.12120193236847762,0.1911416752753906,0.28827745906370467,0.875224204645005,0.2774683014102306,0.11884207700627741,0.10515136292678817,0.9405977504506228,1.8051808376757172,3.0915186567004063,0.9941350716021966,0.2583624263570662
26,inf,0.9820757140772446,0.2682782383827137,0.12046070366843607,0.18784858882336905,0.2882014074708821,0.8655078274827741,0.27162432912701234,0.11830281376240766,0.10548070063084992,0.9405868116711343,1.8050373794591599,3.0898594730103413,0.9832061030778614,0.24809219001146912
27,inf,0.9684065306960701,0.2599676189943261,0.11976741996152472,0.18471523259867106,0.2881254283783814,0.8559606008529698,0.2661306788447784,0.11779551290763803,0.10501389291577728,0.9405760011104288,1.804895612945001,3.088220156130952,0.9725134069533559,0.23929420033922918
28,inf,0.9549927057722453,0.2525494567155485,0.11911775288122495,0.18171925731596003,0.2880495201473629,0.8465803506770924,0.2609427405706462,0.11731843106670158,0.10599981736985838,0.9405653173672436,1.8047555194597158,3.0866004673903684,0.9620518293681073,0.23170003873517686
29,inf,0.9418304663708085,0.2459047643786527,0.11850788462511719,0.17884125064952489,0.2879736838225994,0.8373643998950473,0.25603566958497814,0.1168668814044527,0.10498620400738626,0.9405547587598557,1.8046170766540244,3.0850001673427334,0.9518160739524641,0.2250907779476751
30,inf,0.928916027399128,0.23993174323484323,0.1179344333701158,0.1760648467547034,0.28789792000270203,0.8283102734581571,0.2513893579391123,0.11643792110272502,0.10565575214660711,0.9405443233830137,1.8044802592505136,3.0834189275882644,0.9418007645000687,0.21928971120462146
31,inf,0.9162455954877182,0.2345432597732787,0.11739439162311115,0.173376692306609,0.2878222277404768,0.8194154221818796,0.24698996847641827,0.11603243612318831,0.10476773294109976,0.9405340091560799,1.8043450396776728,3.081856434896176,0.9320004933908779,0.21415516761702952
32,inf,0.9038153727390917,0.2296646707201021,0.11688507492739993,0.17076620715813146,0.2877466084233581,0.810675564835781,0.24280423020054517,0.11564772839007982,0.1049680305298198,0.9405238138637484,1.804211388604241,3.0803123420812417,0.9224098588122787,0.20957391361973074
33,inf,0.8916215603412319,0.22523195897031814,0.11640407892269224,0.16822520481574987,0.2876710578142404,0.8020900666723174,0.2388265783694251,0.11528220449256842,0.10474194407392391,0.9405137351901826,1.8040792753869286,3.078786424741478,0.9130234932981346,0.20545540728930908
34,inf,0.8796603620429978,0.2211901431435287,0.1159492431914374,0.16574746487427652,0.28759557860809604,0.7936561094469994,0.23503765628635276,0.11493414766468142,0.10510060561188977,0.9405037707479464,1.8039486684507398,3.0772780338300922,0.9038360855972186,0.2017269936624449
35,inf,0.8679279874894026,0.21749192516155438,0.11551862065492788,0.16332832563251728,0.287520171580938,0.7853701027616807,0.23141435612342337,0.11460302688997534,0.10468865730620427,0.9404939181020958,1.8038195356057265,3.075787064124888,0.8948423974309647,0.19833001298066946
36,inf,0.8564206554151924,0.2140965430074311,0.11511045153630142,0.1609643321304933,0.2874448351846241,0.7772302506805442,0.22796449341096617,0.11428790137233326,0.10446065355613282,0.9404841747904379,1.8036918443134156,3.074312860495634,0.8860372763239192,0.19521672894670117
37,inf,0.8451345966958799,0.21096879911170877,0.11472314110371265,0.15865295031771456,0.2873695698113559,0.7692331204792885,0.22466751114041844,0.11398783529112011,0.10557480859753453,0.940474538340518,1.8035655619077207,3.072855295139953,0.8774156653914371,0.1923479550127409
38,inf,0.8340660572557372,0.20807823825600705,0.11435524055979593,0.1563923442103238,0.28729437530721313,0.7613772309433339,0.22151561208105597,0.11369966399300634,0.1043810773322645,0.9404650062837402,1.8034406557802618,3.0714137302311664,0.8689726107415375,0.18969125022735758
39,inf,0.8232113008329487,0.20539845224726078,0.11400543056351084,0.15418120680303102,0.28721925070822035,0.7536590797293564,0.2185009617329745,0.11342572434939774,0.10442535025033538,0.9404555761666938,1.8033170935315912,3.069988050468661,0.8607032669801451,0.18721956293485315
40,inf,0.8125666116023784,0.20290649175721015,0.11367250696527031,0.1520186339292068,0.28714419714345313,0.7460776747786063,0.2156137050059227,0.11316238873004661,0.10430004665400527,0.9404462455609748,1.8031948430977405,3.068577745891542,0.8526029011884908,0.18491021458680992
41,inf,0.8021282966570639,0.2005823685667956,0.11335536841166158,0.14990403093708654,0.28706921496468385,0.7386295320249556,0.21284553292640992,0.11291146850281568,0.10456372881315676,0.940437012070858,1.8030738728516007,3.067182315877422,0.8446668956563652,0.18274413321220748
42,inf,0.7918926883497607,0.19840863397628447,0.11305300553641968,0.14783704363315522,0.28699430350835303,0.731311870792128,0.21019712000980537,0.11267053993677792,0.10443167865102929,0.9404278733395713,1.802954151683261,3.0658016417571385,0.836890749595113,0.18070526418129737
43,inf,0.7818561464963697,0.19637002134033194,0.11276449150289176,0.1458175067258797,0.2869194602335798,0.7241232550809588,0.2076526363107988,0.11244061384846683,0.10420274299530695,0.9404188270542345,1.8028356490670387,3.064435248073835,0.8292700800117271,0.1787801031356941
44,inf,0.7720150604433167,0.1944531425811089,0.11248897370255165,0.14384540464663018,0.28684468840638794,0.7170600583780399,0.20521230535657894,0.1122191030623731,0.10425666023404723,0.9404098709497928,1.802718335112264,3.0630827841023818,0.8218006218941802,0.17695731129571593
45,inf,0.7623658510013545,0.19264623014947152,0.11222566644612057,0.1419208409982088,0.2867699852475952,0.7101214098930273,0.20287142769579233,0.11200604185132515,0.10424281253031768,0.940401002811999,1.8026021806009496,3.0617438945217064,0.8144782278340938,0.17522738621586836
46,inf,0.7529049722484239,0.19093891727498905,0.11197384451001677,0.14004401396040045,0.2866953512632204,0.7033037062636066,0.20062771133906426,0.11180251519086962,0.10421970527496968,0.9403922204795846,1.8024871570165872,3.0604182576842525,0.8072988671931701,0.17358237122994147
47,inf,0.7436289132045832,0.18932205050193177,0.11173283742235963,0.13821519579278907,0.2866207885005317,0.6966056748818441,0.19848106014744515,0.11160645818760737,0.10437591258115775,0.940383521845718,1.8023732365637979,3.0591055476617197,0.8002586249028916,0.17201559437686093
48,inf,0.7345341993820975,0.18778752947992633,0.11150202439050648,0.13643471516379277,0.2865462952779928,0.6900241560647605,0.19642219444066034,0.11141789085488697,0.10415001231077953,0.9403749048590528,1.8022603921818237,3.0578054347614474,0.7933536999718879,0.17052143278528567
49,inf,0.7256173942140712,0.1863281697921718,0.11128082978681668,0.13470294145051961,0.28647187118113226,0.6835579041384018,0.1944492385071695,0.11123630955191842,0.10437162255001993,0.9403663675242423,1.8021485975493314,3.0565177449430507,0.7865804037617617,0.16909510168557743
50,inf,0.7168751003651039,0.18493758528510207,0.11106871912159631,0.13302027044061113,0.2863975167528881,0.6772049475219443,0.1925675122565341,0.1110601660552489,0.10408710797935893,0.9403579079019357,1.8020378270859316,3.0552419338567156,0.7799351580799778,0.16773246882166457
51,inf,0.7083039609276318,0.18361008693230135,0.11086519544241968,0.13138711106067866,0.2863232321365025,0.6709622012116596,0.1907724187555494,0.11089153474337653,0.10416752887869694,0.9403495241086164,1.801928055949639,3.0539778208115074,0.7734144931277632,0.16642989545820075
52,inf,0.6999006605076691,0.18234059574047629,0.11066979610762291,0.12980387288383896,0.2862490171837497,0.6648284686352781,0.18905569565531535,0.11072861806857538,0.10494524253357776,0.9403412143161999,1.801819260030291,3.0527252551198094,0.7670150453319843,0.16518410479336135
53,inf,0.6916619262038218,0.18112456760181608,0.11048208988900794,0.1282709542516041,0.286174869506456,0.658800654281781,0.18742094710254695,0.11057167707243479,0.10490683876779577,0.9403329767511219,1.801711415939067,3.0514837110795114,0.7607335550827263,0.16399207771974136
54,inf,0.6835845284834323,0.17995792832816718,0.11030167436491499,0.1267887308977171,0.28610079135056865,0.6528775458320278,0.1858637907120551,0.11042004299958356,0.10415387195120293,0.9403248096937374,1.8016045009977615,3.050253055532985,0.7545668643927873,0.16285097479571153
55,inf,0.6756652819598536,0.178837017379067,0.11012817357001561,0.12535754499415158,0.28602678298216766,0.6470566238389767,0.18437662863978097,0.11027498878516884,0.10426931201659279,0.9403167114770332,1.8014984932239955,3.0490331479252295,0.7485119144914252,0.16175808221156135
