n_iter,gd_1e-06,gd_1e-05,gd_1e-04,gd_1e-03,gd_1e-02,sgd_1e-06,sgd_1e-05,sgd_1e-04,sgd_1e-03,sgd_1e-02,adam_1e-06,adam_1e-05,adam_1e-04,adam_1e-03,adam_1e-02
0,1.9014057448315458,1.2181225476778417,0.7385350225347959,1.249991325654023,0.34007403572901274,0.9725421757239736,0.7895575597845635,1.2947977173053191,1.2939950598127816,0.17906096419794804,0.5184062910693322,1.615532210890362,1.5266662285896508,0.754983057539959,2.9087835946500507
1,1.9009623138008271,1.2143444596830322,0.715830753760705,0.9730705060488716,0.14463345444799033,0.9722091575861472,0.7874680789128392,1.188206980269674,0.9456678535823152,0.12510809064121772,0.518399353519409,1.6154165496429898,1.525173700147498,0.7497635504474237,2.7487186726826685
2,1.9005189327614693,1.210576816601499,0.6946269701176486,0.7694040222842563,0.13537488152626856,0.9718763708218991,0.7853902717454686,1.0940643282158504,0.7012006198013808,0.10921383696373878,0.5183912723082061,1.6152818317075088,1.5234359296588298,0.7437561248408718,2.5667773381456773
3,1.9000756017209968,1.2068196273894947,0.6747296419948755,0.6108304348401979,0.13037274805988447,0.9715438120271468,0.783324320622158,1.0116572759595772,0.5339988433111204,0.1020659131166236,0.5183823891170236,1.6151337571824513,1.5215267169877142,0.7372447522380646,2.373489080197407
4,1.8996323206869377,1.2030729007532706,0.6559807155482787,0.4884893869330946,0.12595660332192743,0.9712114842818332,0.7812699298038198,0.9399229688048041,0.4221166200514942,0.0980829289070018,0.5183729257775624,1.6149760271370335,1.5194940059676227,0.7304167216586717,2.1769352683615497
5,1.8991890896668213,1.1993366451488765,0.6382507365790199,0.39611129804047474,0.12191994425713697,0.9708793853598215,0.7792269692907862,0.877419986218578,0.34700699077963904,0.0951787771020806,0.5183630390882036,1.614811257713733,1.5173716943802298,0.7234050274138778,1.9840907127631222
6,1.8987459086681773,1.195610868781677,0.6214329848924696,0.3274069987090513,0.1182073780583338,0.9705475178418361,0.7771953161468332,0.8231930110543916,0.29509147518184625,0.09305520967968714,0.5183528453534689,1.614641389392346,1.5151849247311162,0.7163075023624805,1.801320129183336
7,1.898302777698539,1.191895579606208,0.6054388360500809,0.2765172635899478,0.11479615966765618,0.9702158754323539,0.7751749018001595,0.7760843936205284,0.25782300717860257,0.09134726191013988,0.5183424334805051,1.6144679054427422,1.5129529103593795,0.7091971936803516,1.6343127619264968
8,1.8978596967654398,1.1881907853257643,0.5901941042152602,0.23870213508052293,0.11167552741235762,0.9698844617195432,0.7731656822394376,0.7349600717950622,0.23032030439308013,0.08991263353948378,0.5183318727952458,1.6142919623215939,1.510690623719422,0.7021286401314126,1.4875140405482765
9,1.8974166658764142,1.1844964933922528,0.575636161378368,0.21049299536407523,0.10883914120247946,0.969553280060681,0.7711672582285884,0.6989988473086381,0.20945441580436114,0.08866898253200947,0.5183212180822877,1.6141144737663784,1.5084098860620814,0.69514193157395,1.3632954119917824
10,1.8969736850390007,1.180812711005845,0.5617116673715448,0.18943580410442443,0.10627951238328097,0.969222322987608,0.7691796586758886,0.66729708017964,0.1931987876402313,0.08754194877197814,0.5183105130228889,1.6139361681700495,1.5061201114846303,0.688265660701008,1.2614314496675318
11,1.896530754260737,1.1771394451148078,0.5483747789359836,0.17370817643770567,0.10398383050792565,0.968891593564931,0.7672029906082555,0.6392080791368053,0.18031564493001276,0.08655725173411849,0.5182997926419568,1.6137576294234384,1.5038288369829116,0.6815194530937959,1.1794296250016119
12,1.896087873549166,1.173476702415252,0.5355857340840499,0.16187030996782137,0.10193230745896094,0.9685610935184339,0.7652369498744167,0.614172379298,0.16988164854951734,0.08565275589997194,0.5182890851078245,1.6135793269590528,1.5015421126231492,0.6749163142735338,1.113576345138543
13,1.8956450429118272,1.1698244893509913,0.5233097305093485,0.15280776334118884,0.10009951707444939,0.9682308224209261,0.7632812619216048,0.591734778440894,0.16131903388003385,0.08484404351034071,0.5182784130907055,1.6134016384304837,1.4992647962478798,0.6684646650207058,1.06000432629231
14,1.8952022623562672,1.166182812113261,0.5115160346142974,0.14571608659980587,0.09845777571487352,0.967900774702666,0.7613360413874665,0.5714556590104892,0.15419474147906173,0.08410449876511349,0.5182677948095162,1.6132248671906755,1.4970007807087082,0.6621698382080355,1.0153239878429037
15,1.8947595318900312,1.1625516766406372,0.5001772716874774,0.1400426012816909,0.09698069121630223,0.9675709523405279,0.7594011223880534,0.5530266452304556,0.14820383776636623,0.08340770732754536,0.5182572448522135,1.6130492559897076,1.4947531720202636,0.6560349923192965,0.9768349360014411
16,1.8943168515206668,1.1589310886187971,0.4892688586440213,0.13541216850316973,0.09564538221993588,0.9672413566268774,0.7574762470693985,0.5361814613317303,0.14311515307437067,0.0827703270545882,0.5182467748275509,1.6128749978581902,1.4925244309526626,0.65006160311673,0.942499912066408
17,1.893874221255724,1.1553210534804572,0.4787685491979573,0.13156708156011948,0.09443304323706952,0.9669119882102415,0.7555615189716652,0.5207280752213491,0.13875095377486596,0.08219228559847287,0.5182363938888079,1.6127022448530586,1.4903164868371508,0.6442497407180998,0.9108240808805831
18,1.893431641102755,1.1517215764051703,0.46865606790048603,0.1283263753158778,0.09332842848541696,0.9665828432988249,0.7536567178433734,0.5064405445948343,0.13497409703016813,0.08164765448260199,0.5182261091586289,1.6125311151520592,1.4881308298941767,0.6385982694772865,0.8807222763914822
