Metric,LR - GD,LR - SGD,LR - ADAM,LDA,QDA,KNN
Accuracy,0.846307732451944,0.8458728363921023,0.5715404018439593,0.8350874141080282,0.7681134208924068,0.8450900234843872
Precision,0.7250517598343685,0.7242951907131011,0.22650475184794086,0.6984258492129246,0.5219831618334893,0.7240083507306889
Recall,0.6135248773651016,0.6121233356692362,0.30063069376313944,0.590749824807288,0.7820602662929222,0.6075683251576735
F1-Score,0.6646422471057126,0.6635017090770984,0.25835591689250226,0.6400911161731206,0.6260869565217392,0.6606972756715566
