,Learning rate,Algorithm,Accuracy
0,1e-06,gd,0.484
1,1e-05,gd,0.656
2,0.0001,gd,0.744
3,0.001,gd,0.736
4,0.01,gd,0.728
5,1e-06,sgd,0.68
6,1e-05,sgd,0.684
7,0.0001,sgd,0.756
8,0.001,sgd,0.744
9,0.01,sgd,0.744
10,1e-06,adam,0.436
11,1e-05,adam,0.44
12,0.0001,adam,0.636
13,0.001,adam,0.748
14,0.01,adam,0.744
