n_iter,gd_adult,sgd_adult,adam_adult,irls_credit,gd_credit,sgd_credit,adam_credit,irls_sick,gd_sick,sgd_sick,adam_sick,irls_titanic,gd_titanic,sgd_titanic,adam_titanic
0,0.9927242380318821,0.6283932661600594,2.1141964581038097,0.4650787503170151,1.398631106911847,1.4194812579405354,1.2088080383223894,0.23102832202800666,0.6538215979542321,1.3473336956248716,1.3702831076848605,0.17533218488431793,1.31826281079075,0.8843976637736465,1.678512325970405
1,0.5889123001724166,0.5297888373742412,2.1123497874078456,0.44184257176635405,1.3886311373321472,1.4069125037147092,1.207982096896992,0.150539275833499,0.5888732122415293,1.1597767041810791,1.3692370738934525,0.1047276121825955,1.2402448420848153,0.8596233695889969,1.6772434252228314
2,0.5115087425992877,0.47649142822819657,2.110199751556201,0.4398151466676699,1.379047427654245,1.394722523283596,1.2070228772452563,0.1162054335152695,0.5358437988276062,0.9999003936829987,1.3680191834496471,0.08142378386614402,1.1703691629696986,0.8357336440984052,1.6757661608984749
3,0.466184863365304,0.4444191308047293,2.107837684317186,0.43978837450275804,1.3698598407210454,1.3828837093698927,1.2059720935291585,0.1041626028289012,0.49230474067622243,0.8654173835640864,1.3666811649507238,0.0729492205773189,1.1078633570868377,0.8126977536579576,1.6741433221211481
4,0.4374385197924929,0.4239238452311822,2.1053229216069416,0.4397883680889969,1.3610485791034432,1.3713801086231323,1.2048569263197981,0.10114980438805389,0.4563222366211896,0.7535843181562741,1.3652566236517618,0.07048018348271744,1.0519095673853929,0.7904838247926429,1.6724157031448252
5,0.4182315268272803,0.41011111697652514,2.102697415297275,0.4397883680889956,1.3525942576806442,1.3601764818441417,1.203696611182938,0.10080247052314673,0.4263672407457791,0.6613961397225047,1.3637693183023942,0.07005173305180849,1.0017007169872045,0.7690840653838187,1.6706121468189816
6,0.4047145769813802,0.40033765749633493,2.099992280484612,0.43978836808899546,1.3444779676693122,1.3492641439218833,1.202505401250179,0.10075978837032992,0.4012319567346321,0.5859650378465029,1.3622368706109915,0.0700277982427853,0.9564803335786286,0.7484626546763722,1.6687540447111455
7,0.39483651971042677,0.39310376691207155,2.0972312930284107,0.4397883680889956,1.3366813319987854,1.338627928809239,1.201294156896469,0.10074523027244522,0.37996207209035987,0.5243329300122923,1.3606727454412255,0.07002767221785142,0.9155656283107652,0.728597163462644,1.6668577413532026
8,0.3873264851698103,0.3875170883328806,2.0944329791041514,0.4397883680889956,1.3291865521035564,1.3282485876454404,1.2000713006217456,0.10073987403291414,0.3618041111207984,0.4739848447835544,1.359087434399652,0.07002767219770394,0.8783569153734717,0.7094735547853667,1.6649359708222566
9,0.3814244610313794,0.38306547716343586,2.0916119639904123,0.4397883680889956,1.321976446351529,1.318138778257926,1.198843436863796,0.1007378578945993,0.34616401732636815,0.4326828815649647,1.3574892199399367,0.07002767219769146,0.8443375654142686,0.6910547874566738,1.6629987841688585
