Metric,LR - IRLS,LR - GD,LR - SGD,LR - ADAM,LDA,QDA,KNN
Accuracy,0.9730603448275862,0.9428879310344828,0.9353448275862069,0.6196120689655172,0.9633620689655172,0.16379310344827586,0.9644396551724138
Precision,0.9230769230769231,0.6086956521739131,0.4444444444444444,0.040498442367601244,0.8529411764705882,0.06850961538461539,1.0
Recall,0.6206896551724138,0.2413793103448276,0.13793103448275862,0.22413793103448276,0.5,0.9827586206896551,0.43103448275862066
F1-Score,0.7422680412371133,0.345679012345679,0.21052631578947367,0.06860158311345646,0.6304347826086956,0.12808988764044946,0.6024096385542169
