,Learning rate,Algorithm,F1-Score
0,1e-06,gd,0.015625000000000003
1,1e-05,gd,0.0
2,0.0001,gd,0.15053763440860216
3,0.001,gd,0.0
4,0.01,gd,0.5274725274725275
5,1e-06,sgd,0.05052631578947368
6,1e-05,sgd,0.07518796992481204
7,0.0001,sgd,0.05128205128205129
8,0.001,sgd,0.0
9,0.01,sgd,0.5617977528089887
10,1e-06,adam,0.1876543209876543
11,1e-05,adam,0.052884615384615384
12,0.0001,adam,0.039999999999999994
13,0.001,adam,0.18543046357615894
14,0.01,adam,0.1902985074626866
