,Learning rate,Algorithm,Accuracy
0,1e-06,gd,0.5396341463414634
1,1e-05,gd,0.9512195121951219
2,0.0001,gd,0.9695121951219512
3,0.001,gd,0.9695121951219512
4,0.01,gd,0.9664634146341463
5,1e-06,sgd,0.7225609756097561
6,1e-05,sgd,0.9085365853658537
7,0.0001,sgd,0.9695121951219512
8,0.001,sgd,0.9695121951219512
9,0.01,sgd,0.9664634146341463
10,1e-06,adam,0.7378048780487805
11,1e-05,adam,0.25914634146341464
12,0.0001,adam,0.5
13,0.001,adam,0.9603658536585366
14,0.01,adam,0.9664634146341463
