n_iter,gd_1e-06,gd_1e-05,gd_1e-04,gd_1e-03,gd_1e-02,sgd_1e-06,sgd_1e-05,sgd_1e-04,sgd_1e-03,sgd_1e-02,adam_1e-06,adam_1e-05,adam_1e-04,adam_1e-03,adam_1e-02
0,1.6480045925132174,2.0571403370809813,1.641172800056439,1.2054821177552102,1.0088537161222353,1.3147654166176497,1.3501029688654802,1.2140912390736824,1.2767042660687773,0.8972072363976545,1.2732006104477793,1.8158604577617012,3.0299606829676,1.0802125340228244,2.658038244377761
1,1.6478574158669186,2.0463147157510266,1.6017926644944636,1.1437050613866506,1.755636749446525,1.3145616279848038,1.3487221510684513,1.2098079763069636,1.1661764211074497,0.6986657448340012,1.2731894595459856,1.8156334973208252,3.026901565239439,1.0742304827023388,2.376282828389164
2,1.6477102760487068,2.0355808946845264,1.5658615878734365,1.0896432063941075,4.993738063694256,1.31435799741252,1.347344349791605,1.2055729871841996,1.0908253761484286,0.6179798308405959,1.2731764703623252,1.8153691602345945,3.0233405988432724,1.067446697955899,2.076355408485893
