n_iter,gd_1e-06,gd_1e-05,gd_1e-04,gd_1e-03,gd_1e-02,sgd_1e-06,sgd_1e-05,sgd_1e-04,sgd_1e-03,sgd_1e-02,adam_1e-06,adam_1e-05,adam_1e-04,adam_1e-03,adam_1e-02
0,0.8155010166095791,2.4245357984903997,0.698671968429576,9.637379399832831,,1.3147174959601775,1.0270692949127975,0.8214678084443768,0.42745058671467645,0.3345401515879918,1.042844397376834,2.0516290160450876,1.1553483093444388,1.079372385152276,2.484651496792143
1,0.8126726673144241,2.0795550273024137,0.5774430656293905,,,1.3090031884155573,0.9706864596973334,0.560002203484373,0.3917030583317226,0.3287753848995506,1.0428373848986434,2.051495495764199,1.1547893864398862,1.0718622849524646,2.2924317837420354
2,0.8098838363683248,1.8072982820411245,0.5065709890360854,,,1.303345225225179,0.9222856783779763,0.4610968632575935,0.37193367376461783,0.3316383390001244,1.0428292164147945,2.0513399715500027,1.1541387601194109,1.0632019100461048,2.079424176011621
3,0.8071339088510019,1.5969845550020962,0.4690384229764275,,,1.297742635166314,0.8801061466118749,0.42118646546306376,0.36042114181357177,0.3337254103717417,1.0428202372997455,2.051169021934276,1.1534241146524582,1.0537928801990781,1.8603145033225992
4,0.8044222741702688,1.4351682991946293,0.4505661161893424,,,1.2921946627181529,0.84276167966031,0.4031390094646799,0.35183184414239654,0.32873451707625206,1.04281067178368,2.0509869181833214,1.1526634388899835,1.0438988658497141,1.6457699511615083
5,0.8017483262641915,1.3090015564171973,0.4375679805730344,,,1.286700791828659,0.8093303485773731,0.39305574549065375,0.34626056074470934,0.32708590122934134,1.04280067836048,2.0507966794441272,1.1518694518643238,1.0337069119031588,1.4437773250598878
6,0.7991114637932386,1.2080836423425754,0.42745235377943347,,,1.2812600499623676,0.7791316732044531,0.3863224590012978,0.3420432162977969,0.3284977883759051,1.0427903745924887,2.050600545133094,1.1510515861402024,1.0233552243655506,1.2604001339795123
7,0.7965110903226468,1.1248638236667232,0.41885578498310233,,,1.2758717332920777,0.7516431476343544,0.3812380193963668,0.33901168963381956,0.3280962440990643,1.0427798503451606,2.050400227067954,1.1502170477044529,1.0129481445679425,1.1000829112240778
8,0.7939466144952119,1.0542221699525736,0.411551874490972,,,1.2705352175585352,0.7264746799725023,0.37710670321277884,0.3374465590851322,0.3294247729434345,1.0427691756956299,2.0501970599582804,1.1493714494381253,1.0025652720691411,0.9656701340987109
9,0.7914174501947521,0.9928142047687287,0.40504134555685406,,,1.2652497628219692,0.7033367802419526,0.37360803315044416,0.3344328439780524,0.3364991110779163,1.0427584060227477,2.0499920984513054,1.1485192201865926,0.9922674898401374,0.8583295086707073
10,0.7889230167004939,0.9384839969011689,0.3993672584322929,,,1.260014396003547,0.6819822517297234,0.3705419883328007,0.3329781514081135,0.32750161775547904,1.0427475854741177,2.0497861833392745,1.1476638842128828,0.9821011793769063,0.7774189219212583
11,0.7864627388326102,0.8898314730320606,0.39420660603638386,,,1.2548286090843859,0.6622329437716147,0.36781881576072994,0.33231384627029087,0.32686052911515023,1.0427367494577804,2.049579988686431,1.1468082603649543,0.972101304479937,0.7204945873177495
12,0.7840360470891783,0.8459222464330663,0.3896634918941783,,,1.249691945952163,0.6439259405100888,0.3653779390031332,0.3309424899805227,0.3257918043540051,1.0427259264448308,2.049374056493883,1.1459546087401011,0.9622937485199052,0.6836078307877866
13,0.7816423777747846,0.8061033851860157,0.385477496987041,,,1.24460344853371,0.6269495885570942,0.3631677582936865,0.33029274040999645,0.3290980781408456,1.0427151393495482,2.049168822866355,1.1451047415002462,0.9526971339325122,0.6619080332347292
14,0.7792811731210134,0.7698909956828076,0.3817781474803965,,,1.2395624160064624,0.6111828130162359,0.3611483612171802,0.3297542809734806,0.3280025772592328,1.0427044065860263,2.0489646381771,1.1442601083381052,0.9433242646540696,0.6504265731660185
15,0.776951881399052,0.7369041439406744,0.37833233879571215,,,1.234568514725361,0.596537048784416,0.35929660775701894,0.3293439943731946,0.3266694220233663,1.042693742901664,2.048761782870763,1.1434218634965665,0.9341832822233537,0.6447701573535122
16,0.7746539570246183,0.7068276187891133,0.37528767017457015,,,1.229620792332912,0.5829243487810425,0.357600076210069,0.3290796808940616,0.3264413622168789,1.042683160029038,2.0485604800192934,1.1425909190403194,0.9252785987231779,0.641484053008437
17,0.7723868606554198,0.679392030765043,0.3724208530859338,,,1.2247189481758283,0.5702707941930812,0.35603567050885626,0.3288518564509299,0.3275858529528828,1.042672667220761,2.0483609054113123,1.1417679876751143,0.9166116540365391,0.6380926756832832
18,0.7701500592813325,0.6543639342266442,0.3698972649645208,,,1.219862182125419,0.5585022635653242,0.3545928886417337,0.3283250124750307,0.3275524815272038,1.0426622716730922,2.0481631957367172,1.1409536174854211,0.908181534175014,0.6329763279893489
19,0.7679430263074837,0.6315414441625778,0.36749209400540833,,,1.2150499601824223,0.5475575138649291,0.3532590839858995,0.3280887537172268,0.3275452983809085,1.0426519788876738,2.0479674552782106,1.1401482203333564,0.899985478770566,0.6252100156361313
20,0.7657652416303999,0.610752461537177,0.36539073357762497,,,1.2102817776382209,0.5373703888675029,0.35201959549615996,0.32794683487642134,0.32694755550867666,1.0426417929468448,2.047773761418215,1.1393520952251717,0.8920192988250943,0.6144165438474886
