C,No. of features,Balanced accuracy,Final score
0.0005,12.0,0.9233333333333333,0.9233333333333333
0.0015,56.0,0.9733333333333334,0.9730333333333334
0.0025,102.0,0.985,0.9823999999999999
0.0035,128.0,0.9833333333333334,0.9794333333333334
0.0045000000000000005,152.0,0.985,0.9799
0.0055,173.0,0.9816666666666667,0.9755166666666667
0.006500000000000001,198.0,0.9816666666666667,0.9742666666666667
0.0075,216.0,0.9833333333333334,0.9750333333333334
0.0085,243.0,0.98,0.9703499999999999
0.009500000000000001,266.0,0.9816666666666667,0.9708666666666667
0.0105,280.0,0.98,0.9685
0.0115,304.0,0.9816666666666667,0.9689666666666666
0.0125,320.0,0.9783333333333333,0.9648333333333333
0.013500000000000002,344.0,0.98,0.9652999999999999
0.0145,357.0,0.98,0.96465
0.0155,377.0,0.9833333333333334,0.9669833333333334
0.0165,386.0,0.9766666666666667,0.9598666666666666
0.0175,405.0,0.9816666666666667,0.9639166666666666
0.018500000000000003,424.0,0.9783333333333333,0.9596333333333332
0.0195,440.0,0.98,0.9605
0.0205,462.0,0.9833333333333333,0.9627333333333333
0.021500000000000002,471.0,0.9816666666666667,0.9606166666666667
0.0225,484.0,0.9766666666666667,0.9549666666666666
0.0235,495.0,0.9833333333333334,0.9610833333333334
0.0245,510.0,0.9816666666666667,0.9586666666666667
0.025500000000000002,531.0,0.9766666666666667,0.9526166666666667
0.026500000000000003,545.0,0.985,0.9602499999999999
0.0275,559.0,0.9833333333333334,0.9578833333333334
0.0285,567.0,0.9816666666666667,0.9558166666666666
0.029500000000000002,576.0,0.98,0.9537
0.0305,584.0,0.9833333333333334,0.9566333333333334
0.0315,589.0,0.98,0.95305
0.0325,597.0,0.9833333333333334,0.9559833333333334
0.0335,606.0,0.9816666666666667,0.9538666666666666
0.0345,615.0,0.9816666666666667,0.9534166666666667
0.035500000000000004,625.0,0.985,0.9562499999999999
0.036500000000000005,636.0,0.985,0.9557
0.0375,646.0,0.9816666666666667,0.9518666666666666
0.0385,651.0,0.98,0.94995
0.0395,654.0,0.98,0.9498
0.0405,657.0,0.9866666666666666,0.9563166666666666
0.0415,663.0,0.9816666666666667,0.9510166666666667
0.0425,674.0,0.98,0.9488
0.043500000000000004,680.0,0.98,0.9485
0.0445,686.0,0.9866666666666666,0.9548666666666665
0.0455,688.0,0.9833333333333334,0.9514333333333334
0.0465,691.0,0.9816666666666667,0.9496166666666667
0.0475,694.0,0.985,0.9528
0.0485,695.0,0.98,0.94775
0.0495,698.0,0.98,0.9476
