Max depth,No. of features,Balanced accuracy,Final score
2.0,699.0,0.9706561799770621,0.9382061799770621
3.0,965.0,0.9737030068283206,0.9279530068283206
4.0,1103.0,0.9731856788934284,0.9205356788934285
5.0,1116.0,0.9741876829014444,0.9208876829014444
6.0,1075.0,0.9752223387712289,0.9239723387712289
7.0,1071.0,0.9736866808974365,0.9226366808974364
8.0,1024.0,0.9741958458668865,0.9254958458668865
9.0,970.0,0.9747050108363366,0.9287050108363366
10.0,940.0,0.9752060128403446,0.9307060128403446
11.0,892.0,0.9742040088323286,0.9321040088323286
12.0,862.0,0.9736948438628785,0.9330948438628786
13.0,849.0,0.9736948438628785,0.9337448438628785
14.0,816.0,0.9731856788934284,0.9348856788934284
15.0,790.0,0.9757151778097948,0.9387151778097947
