Max depth,No. of features,Balanced accuracy,Final score
2.0,15.0,0.8530708198648251,0.8330708198648251
3.0,17.0,0.8711431090214516,0.8471431090214516
4.0,22.0,0.8788017925359977,0.8448017925359976
5.0,20.0,0.8818138407287688,0.8518138407287688
6.0,20.0,0.8818138407287688,0.8518138407287688
7.0,20.0,0.8818138407287688,0.8518138407287688
8.0,19.0,0.8848626212165736,0.8568626212165735
9.0,20.0,0.8818138407287688,0.8518138407287688
10.0,19.0,0.8848626212165736,0.8568626212165735
11.0,19.0,0.8848626212165736,0.8568626212165735
12.0,19.0,0.8848626212165736,0.8568626212165735
13.0,19.0,0.8848626212165736,0.8568626212165735
14.0,19.0,0.8848626212165736,0.8568626212165735
15.0,19.0,0.8848626212165736,0.8568626212165735
